[2024-07-09 19:55:07:198887] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[12] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)OBYJWPETGCH6] codeLen[57] angle[-95] ppm[33] algocost[611] sharpness[0] idRsocre[88] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198895] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[13] barcode[(90)GKL9402319210A6(10)TEST0002(17)260131(21)77NZLVMO8U9R] codeLen[57] angle[-89] ppm[36] algocost[611] sharpness[0] idRsocre[90] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198903] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[14] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)2PY0OCG75ETU] codeLen[57] angle[-87] ppm[36] algocost[611] sharpness[0] idRsocre[87] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198910] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[15] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)IQOJCGJMT5TC] codeLen[57] angle[-93] ppm[33] algocost[611] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198917] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[16] barcode[(90)GKL9402319210A6(10)TPB08851(17)260131(21)U2D84YSUD2HD] codeLen[57] angle[-84] ppm[34] algocost[611] sharpness[0] idRsocre[91] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198923] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[17] barcode[(90)GKL9402319210A6(10)TEST0002(17)260131(21)E9VD4NRTBB14] codeLen[57] angle[-85] ppm[36] algocost[611] sharpness[0] idRsocre[85] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198931] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501964] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1077038] result: barcodenum[19] index[18] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)GDX7NCLW4BDJ] codeLen[57] angle[-92] ppm[31] algocost[611] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:198944] | Error    | Manager.cpp         -L3645: have no buffer, so drop the early node
[2024-07-09 19:55:07:452593] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501966] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1081708] result: barcodenum[19] index[0] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)BOZK66HFCNIR] codeLen[57] angle[-89] ppm[36] algocost[634] sharpness[0] idRsocre[94] eventID[50006] nAllQualityValid[0] barType[1]
[2024-07-09 19:55:07:452608] | Info     | CodeReaderGvmp.cpp  -L0936: sdk: recv cam[02J87632631] package[93] frame[501966] channelID[0] width[5440] height[3648] imageCost[0] frameLen[1081708] result: barcodenum[19] index[1] barcode[(90)GKL9402319210A6(10)TEST0001(17)260131(21)LD0TR2WNO2FM] codeLen[57] angle[-90] ppm[36] algocost[634] sharpness[0] idRsocre[91] eventID[50006] nAllQualityValid[0] barType[1]
